"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User Retrieval","Get delayed response","0","0","1","0","0"
"","User Registration","Register a new user unsuccessfully","0","0","1","0","0"
"","Resource Retrieval","Get list of resources","0","0","1","0","0"
"","User List Retrieval","Get list of users from API","0","0","1","0","0"
"","Resource Retrieval","Get single resource not found","0","0","1","0","0"
"","User Creation","Create a new user","0","0","1","0","0"
"","User Deletion","Delete an existing user","0","0","1","0","0"
"","User Update","Update an existing user with PUT","0","0","1","0","0"
"","Resource Retrieval","Get single resource","0","0","1","0","0"
"","User Retrieval","Get single user not found","0","0","1","0","0"
"","User Registration","Register a new user successfully","0","0","1","0","0"
"","User Retrieval","Get single user from API","0","0","1","0","0"
"","User Update","Update an existing user with PATCH","0","0","1","0","0"
"","User Login","Login successfully","0","0","1","0","0"
"","User Login","Login unsuccessfully","0","0","1","0","0"
